tconst,title,runtime,genres,year,rating,votes
tt9421570,The Guilty,90,"Crime,Drama,Thriller",2021,6.3,134966
tt11214590,House of Gucci,158,"Biography,Crime,Drama",2021,6.6,145444
tt11233960,The Unforgivable,112,"Crime,Drama",2021,7.1,113505
tt11286314,Don't Look Up,138,"Comedy,Drama,Sci-Fi",2021,7.2,557304
tt11271038,Licorice Pizza,133,"Comedy,Drama,Romance",2021,7.2,127234
tt1160419,Dune,155,"Action,Adventure,Drama",2021,8.0,675523
tt9376612,Shang-Chi and the Legend of the Ten Rings,132,"Action,Adventure,Fantasy",2021,7.4,401459
tt10293406,The Power of the Dog,126,"Drama,Western",2021,6.8,182464
tt10295212,Shershaah,135,"Action,Biography,Drama",2021,8.3,124637
tt15097216,Jai Bhim,164,"Crime,Drama,Mystery",2021,8.8,206600
tt7740496,Nightmare Alley,150,"Crime,Drama,Thriller",2021,7.0,152761
tt10366460,CODA,111,"Comedy,Drama,Music",2021,8.0,145736
tt7888964,Nobody,92,"Action,Crime,Drama",2021,7.4,284677
tt2222042,Love and Monsters,109,"Action,Adventure,Comedy",2020,6.9,134155
tt10288566,Another Round,117,"Comedy,Drama",2020,7.7,173567
tt3794354,Sonic the Hedgehog,99,"Action,Adventure,Comedy",2020,6.5,147430
tt1070874,The Trial of the Chicago 7,129,"Drama,History,Thriller",2020,7.7,183837
tt1051906,The Invisible Man,124,"Drama,Horror,Mystery",2020,7.1,237455
tt2948372,Soul,100,"Adventure,Animation,Comedy",2020,8.0,344785
tt10189514,Soorarai Pottru,153,"Action,Drama",2020,8.7,119406
tt10272386,The Father,97,"Drama,Mystery",2020,8.2,168127
tt4566758,Mulan,115,"Action,Adventure,Drama",2020,5.7,152484
tt1502397,Bad Boys for Life,124,"Action,Comedy,Crime",2020,6.5,166669
tt13143964,Borat Subsequent Moviefilm,95,Comedy,2020,6.6,145826
tt7126948,Wonder Woman 1984,151,"Action,Adventure,Fantasy",2020,5.4,278108
tt6048922,Greyhound,91,"Action,Drama,History",2020,7.0,103121
tt8110330,Dil Bechara,101,"Comedy,Drama,Romance",2020,8.4,132528
tt9620292,Promising Young Woman,113,"Crime,Drama,Mystery",2020,7.5,187409
tt9484998,Palm Springs,90,"Comedy,Fantasy,Mystery",2020,7.4,168532
tt7395114,The Devil All the Time,138,"Crime,Drama,Thriller",2020,7.1,142212
tt7713068,Birds of Prey,109,"Action,Comedy,Crime",2020,6.0,249103
tt6723592,Tenet,150,"Action,Sci-Fi,Thriller",2020,7.3,529612
tt7737786,Greenland,119,"Action,Thriller",2020,6.4,123457
tt8847712,The French Dispatch,107,"Comedy,Drama,Romance",2020,7.1,133375
tt7846844,Enola Holmes,123,"Action,Adventure,Crime",2020,6.6,203766
tt7556122,The Old Guard,125,"Action,Thriller",2020,6.6,172594
tt7146812,Onward,102,"Adventure,Animation,Comedy",2020,7.4,157325
tt8936646,Extraction,116,"Action,Thriller",2020,6.7,214018
tt8503618,Hamilton,160,"Biography,Drama,History",2020,8.3,101151
tt9770150,Nomadland,107,Drama,2020,7.3,170293
tt8244784,The Hunt,90,"Action,Horror,Thriller",2020,6.5,119762
tt9893250,I Care a Lot,118,"Comedy,Crime,Drama",2020,6.3,137788
tt8332922,A Quiet Place Part II,97,"Drama,Horror,Sci-Fi",2020,7.2,247157
tt0437086,Alita: Battle Angel,122,"Action,Adventure,Sci-Fi",2019,7.3,278596
tt7798634,Ready or Not,95,"Action,Comedy,Horror",2019,6.8,163360
tt6189022,Angel Has Fallen,121,"Action,Thriller",2019,6.4,102915
tt4520988,Frozen II,103,"Adventure,Animation,Comedy",2019,6.8,181000
tt7752126,Brightburn,90,"Drama,Horror,Mystery",2019,6.1,102313
tt1488606,Triple Frontier,125,"Action,Thriller",2019,6.4,135844
tt4777008,Maleficent: Mistress of Evil,119,"Adventure,Family,Fantasy",2019,6.6,110630
tt1489887,Booksmart,102,Comedy,2019,7.1,124251
tt6146586,John Wick: Chapter 3 - Parabellum,130,"Action,Crime,Thriller",2019,7.4,388171
tt6139732,Aladdin,128,"Adventure,Comedy,Family",2019,6.9,275170
tt2935510,Ad Astra,123,"Adventure,Drama,Mystery",2019,6.5,246426
tt4729430,Klaus,96,"Adventure,Animation,Comedy",2019,8.2,165862
tt6751668,Parasite,132,"Drama,Thriller",2019,8.5,852602
tt7653254,Marriage Story,137,"Drama,Romance",2019,7.9,324131
tt8079248,Yesterday,116,"Comedy,Fantasy,Music",2019,6.8,158920
tt6394270,Bombshell,109,"Biography,Drama",2019,6.8,120128
tt6450804,Terminator: Dark Fate,128,"Action,Adventure,Sci-Fi",2019,6.2,184269
tt8106534,6 Underground,128,"Action,Thriller",2019,6.1,185150
tt8404614,The Two Popes,125,"Biography,Comedy,Drama",2019,7.6,128050
tt6320628,Spider-Man: Far from Home,129,"Action,Adventure,Comedy",2019,7.4,514883
tt2139881,Long Shot,125,"Comedy,Romance",2019,6.8,115108
tt8228288,The Platform,94,"Horror,Sci-Fi,Thriller",2019,7.0,244646
tt2066051,Rocketman,121,"Biography,Drama,Music",2019,7.3,182028
tt3741700,Godzilla: King of the Monsters,132,"Action,Adventure,Fantasy",2019,6.0,190248
tt8367814,The Gentlemen,113,"Action,Comedy,Crime",2019,7.8,359914
tt6565702,X-Men: Dark Phoenix,113,"Action,Adventure,Sci-Fi",2019,5.7,194238
tt1302006,The Irishman,209,"Biography,Crime,Drama",2019,7.8,403193
tt3281548,Little Women,135,"Drama,Romance",2019,7.8,218707
tt8579674,1917,119,"Action,Drama,War",2019,8.2,619741
tt7984766,The King,140,"Biography,Drama,History",2019,7.3,138341
tt7984734,The Lighthouse,109,"Drama,Fantasy,Mystery",2019,7.4,230795
tt7975244,Jumanji: The Next Level,123,"Action,Adventure,Comedy",2019,6.7,263077
tt1979376,Toy Story 4,100,"Adventure,Animation,Comedy",2019,7.7,261576
tt4154664,Captain Marvel,123,"Action,Adventure,Sci-Fi",2019,6.8,578566
tt4154796,Avengers: Endgame,181,"Action,Adventure,Drama",2019,8.4,1177697
tt1950186,Ford v Ferrari,152,"Action,Biography,Drama",2019,8.1,417442
tt8946378,Knives Out,130,"Comedy,Crime,Drama",2019,7.9,726337
tt5606664,Doctor Sleep,152,"Drama,Fantasy,Horror",2019,7.3,201553
tt5363618,Sound of Metal,120,"Drama,Music",2019,7.7,136722
tt5886046,Escape Room,99,"Action,Adventure,Horror",2019,6.4,130639
tt5884052,Pokémon: Detective Pikachu,104,"Action,Adventure,Comedy",2019,6.5,171757
tt5503686,Hustlers,110,"Comedy,Crime,Drama",2019,6.3,103705
tt6823368,Glass,129,"Drama,Horror,Sci-Fi",2019,6.6,253124
tt9243946,El Camino: A Breaking Bad Movie,122,"Action,Crime,Drama",2019,7.3,266650
tt7131622,Once Upon a Time in Hollywood,161,"Comedy,Drama",2019,7.6,776664
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,141,"Action,Adventure,Fantasy",2019,6.5,467016
tt7349950,It Chapter Two,169,"Drama,Fantasy,Horror",2019,6.5,279634
tt2584384,Jojo Rabbit,108,"Comedy,Drama,War",2019,7.9,409576
tt7286456,Joker,122,"Crime,Drama,Thriller",2019,8.4,1351673
tt1560220,Zombieland: Double Tap,99,"Action,Comedy,Horror",2019,6.7,188665
tt6857112,Us,116,"Horror,Mystery,Thriller",2019,6.8,314871
tt1025100,Gemini Man,117,"Action,Sci-Fi,Thriller",2019,5.7,116643
tt1618434,Murder Mystery,97,"Action,Comedy,Crime",2019,6.0,155096
tt5727208,Uncut Gems,135,"Crime,Drama,Thriller",2019,7.4,296444
tt8772262,Midsommar,148,"Drama,Horror,Mystery",2019,7.1,350791
tt6806448,Fast & Furious Presents: Hobbs & Shaw,137,"Action,Adventure,Thriller",2019,6.5,221657
tt0448115,Shazam!,132,"Action,Adventure,Comedy",2019,7.0,362423
tt1206885,Rambo: Last Blood,89,"Action,Crime,Thriller",2019,6.1,103131
tt2283336,Men in Black: International,114,"Action,Adventure,Comedy",2019,5.6,139373
tt6105098,The Lion King,118,"Adventure,Animation,Drama",2019,6.8,253522
tt2386490,How to Train Your Dragon: The Hidden World,104,"Action,Adventure,Animation",2019,7.4,137874
tt6412452,The Ballad of Buster Scruggs,133,"Comedy,Drama,Musical",2018,7.3,155618
tt3766354,The Equalizer 2,121,"Action,Crime,Thriller",2018,6.7,169172
tt1213641,First Man,141,"Biography,Drama,History",2018,7.3,193622
tt3778644,Solo: A Star Wars Story,135,"Action,Adventure,Sci-Fi",2018,6.9,360309
tt3606756,Incredibles 2,118,"Action,Adventure,Animation",2018,7.6,309004
tt6343314,Creed II,130,"Action,Drama,Sport",2018,7.1,143978
tt1259528,Den of Thieves,140,"Action,Crime,Drama",2018,7.0,117565
tt2231461,Rampage,107,"Action,Adventure,Sci-Fi",2018,6.1,175289
tt2704998,Game Night,100,"Action,Adventure,Comedy",2018,6.9,244131
tt3104988,Crazy Rich Asians,120,"Comedy,Drama,Romance",2018,6.9,180046
tt6155172,Roma,135,Drama,2018,7.7,163546
tt9495224,Black Mirror: Bandersnatch,90,"Drama,Fantasy,Mystery",2018,7.1,130211
tt5814060,The Nun,96,"Horror,Mystery,Thriller",2018,5.3,147622
tt2873282,Red Sparrow,140,"Action,Drama,Thriller",2018,6.6,192331
tt2854926,Tag,100,"Action,Comedy",2018,6.5,139428
tt1270797,Venom,112,"Action,Adventure,Sci-Fi",2018,6.6,504551
tt2798920,Annihilation,115,"Adventure,Drama,Horror",2018,6.8,338891
tt2737304,Bird Box,124,"Horror,Mystery,Sci-Fi",2018,6.6,358304
tt5848272,Ralph Breaks the Internet,112,"Adventure,Animation,Comedy",2018,7.0,169576
tt2557478,Pacific Rim: Uprising,111,"Action,Adventure,Fantasy",2018,5.6,121141
tt2548396,The Cloverfield Paradox,102,"Action,Adventure,Horror",2018,5.5,108786
tt6266538,Vice,132,"Biography,Comedy,Drama",2018,7.2,153510
tt4633694,Spider-Man: Into the Spider-Verse,117,"Action,Adventure,Animation",2018,8.4,562491
tt7668870,Searching,102,"Drama,Mystery,Thriller",2018,7.6,171681
tt4500922,Maze Runner: The Death Cure,143,"Action,Adventure,Sci-Fi",2018,6.2,149259
tt6644200,A Quiet Place,90,"Drama,Horror,Sci-Fi",2018,7.5,548801
tt7784604,Hereditary,127,"Drama,Horror,Mystery",2018,7.3,340837
tt4530422,Overlord,110,"Action,Horror,Sci-Fi",2018,6.6,102602
tt4779682,The Meg,113,"Action,Horror,Sci-Fi",2018,5.6,179913
tt4701182,Bumblebee,114,"Action,Adventure,Sci-Fi",2018,6.7,173541
tt1477834,Aquaman,143,"Action,Adventure,Fantasy",2018,6.8,490590
tt1825683,Black Panther,134,"Action,Adventure,Sci-Fi",2018,7.3,801127
tt4218572,Widows,129,"Crime,Drama,Thriller",2018,6.8,100790
tt7959026,The Mule,116,"Crime,Drama,Thriller",2018,7.0,142932
tt4154756,Avengers: Infinity War,149,"Action,Adventure,Sci-Fi",2018,8.4,1121224
tt6628394,Bad Times at the El Royale,141,"Crime,Drama,Mystery",2018,7.1,155931
tt1571234,Mortal Engines,128,"Action,Adventure,Fantasy",2018,6.1,130749
tt6911608,Mamma Mia! Here We Go Again,114,"Comedy,Musical,Romance",2018,6.6,100384
